disease,weight,symptom
인체면역결핍바이러스 감염 (HIV Infection),m,수혈 또는 장기 이식 병력 (History of Blood Transfusion or Organ Transplantation)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),h,우상복부 불편감 (Right Upper Quadrant Discomfort)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),h,피로 (Fatigue)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),h,"간수치 상승 (Elevated Liver Enzymes, ALT/AST 상승)"
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),m,체중 증가 또는 비만 (Weight Gain or Obesity)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),m,체중 감소 및 근감소 (Unintentional Weight Loss and Sarcopenia)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),m,황달 (Jaundice)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),m,복수 및 부종 (Ascites and Edema)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),m,인지 기능 저하 (Cognitive Impairment)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),h,비만 및 대사 증후군 (Obesity & Metabolic Syndrome)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),h,"제2형 당뇨병 (Type 2 Diabetes Mellitus, T2DM)"
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),h,"이상지질혈증 (Dyslipidemia: High LDL, Low HDL, High TGs)"
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),m,고혈압 (Hypertension)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),m,과도한 알코올 섭취 (Excessive Alcohol Consumption)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),m,약물 유발 간질환 (Medication-Induced Liver Disease)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),m,갑상선 기능 저하증 (Hypothyroidism)
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),m,"유전적 소인 (Genetic Predisposition: PNPLA3, TM6SF2, etc.)"
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),m,"환경 독소 노출 (Environmental Toxin Exposure: Heavy Metals, Pesticides, Vinyl Chloride)"
비알코올성 지방간 (Nonalcoholic Fatty Liver Disease),m,"영양 상태 변화 (Nutritional Factors: Rapid Weight Loss, TPN, Malnutrition, High Fructose Intake)"
만성 폐쇄성 폐질환 (COPD),h,호흡곤란 (Dyspnea)
만성 폐쇄성 폐질환 (COPD),h,만성 기침 (Chronic Cough)
만성 폐쇄성 폐질환 (COPD),h,객담 생성 (Sputum Production)
만성 폐쇄성 폐질환 (COPD),h,호흡음 이상 및 흉부 압박감 (Wheezing and Chest Tightness)
만성 폐쇄성 폐질환 (COPD),m,운동능력 저하 (Reduced Exercise Tolerance)
만성 폐쇄성 폐질환 (COPD),m,"전신적 증상 (Systemic Symptoms - Fatigue, Weight Loss, Anorexia)"
만성 폐쇄성 폐질환 (COPD),m,야간 또는 아침 증상 악화 (Morning/Nighttime Symptoms)
만성 폐쇄성 폐질환 (COPD),m,흉곽 변형 (Barrel Chest)
만성 폐쇄성 폐질환 (COPD),m,청색증 (Cyanosis)
만성 폐쇄성 폐질환 (COPD),m,부종 (Edema)
만성 폐쇄성 폐질환 (COPD),h,흡연 및 간접흡연 (Smoking and Secondhand Smoke Exposure)
만성 폐쇄성 폐질환 (COPD),h,직업적 분진 및 화학물질 노출 (Occupational Dust and Chemical Exposure)
만성 폐쇄성 폐질환 (COPD),h,실내외 공기 오염 (Indoor and Outdoor Air Pollution)
만성 폐쇄성 폐질환 (COPD),m,어린 시절 호흡기 감염 (Frequent Respiratory Infections in Childhood)
만성 폐쇄성 폐질환 (COPD),m,가족력 및 유전적 요인 (Family History and Genetic Factors - Alpha-1 Antitrypsin Deficiency)
만성 폐쇄성 폐질환 (COPD),m,미숙아 출생 및 저체중 출생력 (Premature Birth and Low Birth Weight History)
만성 폐쇄성 폐질환 (COPD),m,천식 및 기도 과민성 병력 (Asthma and Airway Hyperresponsiveness History)
만성 폐쇄성 폐질환 (COPD),m,만성 부비동염 및 비강용종 (Chronic Rhinosinusitis and Nasal Polyps)
천식 (Asthma),h,천명 또는 쌕쌕거림 (Wheezing)
천식 (Asthma),h,"호흡곤란 (Shortness of Breath, Dyspnea)"
천식 (Asthma),h,기침 (Cough)
천식 (Asthma),h,가슴 답답함 (Chest Tightness)
천식 (Asthma),h,야간 증상 악화 (Nocturnal Symptom Worsening)
천식 (Asthma),h,활동 제한 (Activity Limitation)
천식 (Asthma),m,호흡음 이상 (Abnormal Breath Sounds)
천식 (Asthma),m,알레르기 관련 증상 (Allergy-Associated Symptoms)
천식 (Asthma),m,급성 악화 병력 (History of Exacerbations)
천식 (Asthma),m,계절성 증상 변화 (Seasonal Symptom Variation)
천식 (Asthma),m,감기 후 증상 지속 (Prolonged Symptoms After Viral Infection)
천식 (Asthma),h,흡연력 및 간접 흡연 (Smoking and Secondhand Smoke Exposure)
천식 (Asthma),m,직업적 노출 (Occupational Exposure to Irritants or Allergens)
천식 (Asthma),m,실내 및 실외 공기 오염 (Indoor and Outdoor Air Pollution)
천식 (Asthma),m,어린 시절 호흡기 감염 병력 (Early Childhood Respiratory Infections)
천식 (Asthma),m,천식 및 알레르기 가족력 (Family History of Asthma and Allergies)
천식 (Asthma),m,"개인의 알레르기 관련 병력 (Personal History of Allergic Conditions: Atopic Dermatitis, Allergic Rhinitis, Food Allergy)"
천식 (Asthma),m,비만 (Obesity)
천식 (Asthma),m,임신 중 비타민 D 결핍 (Vitamin D Deficiency in Pregnancy)
천식 (Asthma),m,출생 방법 (Mode of Delivery - Cesarean vs. Vaginal Birth)
천식 (Asthma),m,광범위 항생제 사용 (Broad-Spectrum Antibiotic Use in Early Life)
천식 (Asthma),m,부비동염 및 비강 용종 병력 (History of Chronic Sinusitis and Nasal Polyps)
급성 신손상 (Acute Kidney Injury),h,소변량 감소 또는 무뇨 (Oliguria or Anuria)
급성 신손상 (Acute Kidney Injury),h,부종 및 체중 증가 (Edema and Weight Gain)
급성 신손상 (Acute Kidney Injury),h,혼돈 및 의식 변화 (Confusion and Altered Consciousness)
급성 신손상 (Acute Kidney Injury),h,소변 형태 변화 (Changes in Urinary Appearance)
급성 신손상 (Acute Kidney Injury),h,고혈압 또는 저혈압 (Hypertension or Hypotension)
급성 신손상 (Acute Kidney Injury),m,근육 경련 및 경련 (Muscle Cramps and Seizures)
급성 신손상 (Acute Kidney Injury),m,오심 및 구토 (Nausea and Vomiting)
급성 신손상 (Acute Kidney Injury),m,허리 통증 (Flank Pain)
급성 신손상 (Acute Kidney Injury),m,호흡곤란 (Dyspnea)
급성 신손상 (Acute Kidney Injury),m,야간 다뇨 (Nocturia)
급성 신손상 (Acute Kidney Injury),m,발열 및 전신 염증 반응 (Fever and Systemic Inflammatory Response)
급성 신손상 (Acute Kidney Injury),h,만성 신장 질환 병력 (History of Chronic Kidney Disease)
급성 신손상 (Acute Kidney Injury),h,당뇨병 병력 (History of Diabetes Mellitus)
급성 신손상 (Acute Kidney Injury),m,고혈압 병력 (History of Hypertension)
급성 신손상 (Acute Kidney Injury),h,심혈관 질환 병력 (History of Cardiovascular Disease)
급성 신손상 (Acute Kidney Injury),m,"간질환 병력 (History of Liver Disease, Cirrhosis)"
급성 신손상 (Acute Kidney Injury),h,급성 질환 및 패혈증 (Sepsis and Critical Illness)
급성 신손상 (Acute Kidney Injury),h,"수술 후 상태 (Postoperative State, Especially Cardiac Surgery)"
급성 신손상 (Acute Kidney Injury),h,신독성 약물 사용 (Nephrotoxic Medications)
급성 신손상 (Acute Kidney Injury),h,조영제 사용 (Radiocontrast Agents)
급성 신손상 (Acute Kidney Injury),h,탈수 및 저혈량증 (Dehydration and Hypovolemia)
급성 신손상 (Acute Kidney Injury),m,혈액 질환 및 빈혈 (Anemia and Hematologic Disorders)
급성 신손상 (Acute Kidney Injury),m,고령 (Advanced Age)
급성 신손상 (Acute Kidney Injury),h,외상 및 근육 손상 (Trauma and Rhabdomyolysis)
당뇨병 (Diabetes),h,다뇨 (Polyuria)
당뇨병 (Diabetes),h,다음 및 갈증 (Polydipsia)
당뇨병 (Diabetes),h,다식 및 식욕 증가 (Polyphagia)
당뇨병 (Diabetes),h,체중 감소 (Unintentional Weight Loss)
당뇨병 (Diabetes),m,"손발 저림 및 감각 이상 (Peripheral Neuropathy: Tingling, Numbness, or Burning Sensation)"
당뇨병 (Diabetes),m,야간 빈뇨 (Nocturia)
당뇨병 (Diabetes),m,가려움증 (Pruritus or Dry Skin)
당뇨병 (Diabetes),m,"잦은 감염 (Frequent Infections, Especially UTIs or Fungal Infections)"
당뇨병 (Diabetes),m,근력 저하 및 근육 경련 (Muscle Weakness and Cramps)
당뇨병 (Diabetes),m,식욕 저하 (Loss of Appetite)
당뇨병 (Diabetes),m,피로 및 무기력 (Fatigue and Lethargy)
당뇨병 (Diabetes),m,시야 흐림 (Blurred Vision)
당뇨병 (Diabetes),m,상처 치유 지연 (Delayed Wound Healing)
당뇨병 (Diabetes),h,당뇨병 가족력 (Family History of Diabetes)
당뇨병 (Diabetes),h,공복혈당장애 및 내당능장애 병력 (History of Impaired Fasting Glucose or Impaired Glucose Tolerance)
당뇨병 (Diabetes),h,"비만 또는 과체중 (Overweight or Obesity, BMI ≥25 kg/m²)"
당뇨병 (Diabetes),h,신체 활동 부족 (Physical Inactivity)
당뇨병 (Diabetes),h,"고혈압 병력 (History of Hypertension, BP ≥140/90 mmHg)"
당뇨병 (Diabetes),h,고지혈증 (Dyslipidemia: HDL <35 mg/dL or TG >250 mg/dL)
당뇨병 (Diabetes),h,"다낭성 난소 증후군 (Polycystic Ovary Syndrome, PCOS) 병력"
당뇨병 (Diabetes),h,"임신성 당뇨병 병력 (History of Gestational Diabetes Mellitus, GDM)"
당뇨병 (Diabetes),m,"만성 스트레스 및 정신건강 문제 (Chronic Stress, Depression, Anxiety)"
당뇨병 (Diabetes),m,"비알코올성 지방간 질환 (Nonalcoholic Fatty Liver Disease, NAFLD)"
당뇨병 (Diabetes),m,흡연력 (Smoking History)
당뇨병 (Diabetes),m,음주력 (Alcohol Consumption)
당뇨병 (Diabetes),m,"신장 질환 병력 (History of Chronic Kidney Disease, CKD)"
당뇨병 (Diabetes),m,약물 사용 (Use of Hyperglycemia-Inducing Medications)
당뇨병 (Diabetes),m,수면 부족 (Sleep Deprivation)
급성 췌장염 (Acute pancreatitis),h,심한 상복부 통증 (Severe Epigastric Pain)
급성 췌장염 (Acute pancreatitis),h,오심 및 구토 (Nausea and Vomiting)
급성 췌장염 (Acute pancreatitis),h,식욕 감소 (Loss of Appetite)
급성 췌장염 (Acute pancreatitis),h,복부 팽만 (Abdominal Distension)
급성 췌장염 (Acute pancreatitis),m,복부 압통 및 반발통 (Abdominal Tenderness and Rebound Pain)
급성 췌장염 (Acute pancreatitis),h,황달 (Jaundice)
급성 췌장염 (Acute pancreatitis),m,청색증 및 출혈성 반점 (Cullen’s and Grey-Turner Signs)
급성 췌장염 (Acute pancreatitis),m,호흡 곤란 (Respiratory Distress)
급성 췌장염 (Acute pancreatitis),m,발열 (Fever)
급성 췌장염 (Acute pancreatitis),m,저혈압 및 빈맥 (Hypotension and Tachycardia)
급성 췌장염 (Acute pancreatitis),h,담석증 병력 (Gallstone Disease)
급성 췌장염 (Acute pancreatitis),h,과음 및 만성 음주력 (Heavy Alcohol Use)
급성 췌장염 (Acute pancreatitis),h,고중성지방혈증 병력 (Hypertriglyceridemia)
급성 췌장염 (Acute pancreatitis),m,고칼슘혈증 병력 (Hypercalcemia)
급성 췌장염 (Acute pancreatitis),m,급성 췌장염 가족력 (Family History of Acute Pancreatitis)
급성 췌장염 (Acute pancreatitis),m,"ERCP 시술력 (History of Endoscopic Retrograde Cholangiopancreatography, ERCP)"
급성 췌장염 (Acute pancreatitis),m,"이뇨제, 면역억제제, 항경련제, 항생제 복용력 (Diuretics, Immunosuppressants, Anticonvulsants, Antibiotics Use)"
급성 췌장염 (Acute pancreatitis),m,흡연력 (Smoking History)
급성 췌장염 (Acute pancreatitis),m,비만 (Obesity)
급성 췌장염 (Acute pancreatitis),m,췌장 외상 병력 (Pancreatic Trauma History)
급성 췌장염 (Acute pancreatitis),m,자가면역성 췌장염 병력 (Autoimmune Pancreatitis)
급성 췌장염 (Acute pancreatitis),m,낭포성 섬유증 및 유전적 요인 (Cystic Fibrosis or Genetic Factors)
전신 경화증 (Systemic Sclerosis),h,손가락 궤양 (Digital Ulcers)
전신 경화증 (Systemic Sclerosis),h,"폐섬유화 관련 증상 (Dyspnea, Chronic Dry Cough, Exercise Intolerance)"
전신 경화증 (Systemic Sclerosis),h,갑작스러운 고혈압 (Sudden Onset of Hypertension)
전신 경화증 (Systemic Sclerosis),h,흉통 및 심계항진 (Chest Pain and Palpitations)
전신 경화증 (Systemic Sclerosis),h,연하곤란 (Dysphagia)
전신 경화증 (Systemic Sclerosis),m,레이노 증후군 (Raynaud’s Phenomenon)
전신 경화증 (Systemic Sclerosis),m,"피부 경화 (Skin Fibrosis, Sclerodactyly)"
전신 경화증 (Systemic Sclerosis),m,모세혈관 확장증 (Telangiectasia)
전신 경화증 (Systemic Sclerosis),m,근력 약화 (Muscle Weakness)
전신 경화증 (Systemic Sclerosis),m,무감각 및 저림 (Numbness and Tingling)
전신 경화증 (Systemic Sclerosis),m,만성 피로 및 쇠약감 (Chronic Fatigue and Weakness)
전신 경화증 (Systemic Sclerosis),m,비의도적 체중 감소 (Unintentional Weight Loss)
전신 경화증 (Systemic Sclerosis),m,복부 팽만 및 장 운동 이상 (Bloating and Altered Bowel Habits)
전신 경화증 (Systemic Sclerosis),m,대변 실금 (Fecal Incontinence)
전신 경화증 (Systemic Sclerosis),m,관절통 및 근육통 (Arthralgia and Myalgia)
전신 경화증 (Systemic Sclerosis),m,부종 (Edema)
전신 경화증 (Systemic Sclerosis),h,자가면역 질환 가족력 (Family History of Autoimmune Diseases)
전신 경화증 (Systemic Sclerosis),h,"항체 양성 (Autoantibody Positivity: ANA, Anti-Scl-70, ACA, RNA Polymerase III)"
전신 경화증 (Systemic Sclerosis),h,흡연력 (Smoking History)
전신 경화증 (Systemic Sclerosis),h,실리카 및 유기 용매 노출 (Silica and Organic Solvent Exposure)
전신 경화증 (Systemic Sclerosis),m,여성 (Female Gender)
전신 경화증 (Systemic Sclerosis),m,혈관염 및 기타 자가면역 질환 병력 (History of Vasculitis or Other Autoimmune Diseases)
전신 경화증 (Systemic Sclerosis),m,"만성 감염 (Chronic Infections: CMV, EBV, Parvovirus B19)"
전신 경화증 (Systemic Sclerosis),m,폐경 후 발병 (Postmenopausal Onset)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),h,대칭적 관절통 또는 관절염 (Symmetrical Arthritis or Arthralgia)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),h,나비 모양 발진 (Malar Rash)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),h,원반형 발진 (Discoid Rash)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),h,광과민성 발진 (Photosensitive Rash)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),h,무통성 구강 및 비강 궤양 (Painless Oral/Nasal Ulcers)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),h,경련 또는 정신병적 증상 (Seizures or Psychosis)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),h,단백뇨 (Proteinuria)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),h,부종 (Edema)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),h,"빈혈, 백혈구 감소증, 혈소판 감소증 (Anemia, Leukopenia, Thrombocytopenia)"
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,비의도적 체중 감소 (Unintentional Weight Loss)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,미열 (Unexplained Low-grade Fever)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,만성 피로 및 쇠약감 (Chronic Fatigue and Weakness)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,탈모 (Alopecia)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,흉통 및 심계항진 (Chest Pain and Palpitations)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,"호흡곤란 및 만성 마른기침 (Dyspnea, Chronic Dry Cough)"
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,운동 시 불내성 (Exercise Intolerance)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,"구강 및 안구 건조감 (Dry Eyes, Dry Mouth)"
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,사지의 저림 및 무감각 (Numbness and Tingling)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),h,가족 내 자가면역 질환 병력 (Family history of autoimmune diseases)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),h,"여성, 특히 가임기 (Female sex, particularly reproductive years)"
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,흡연력 (Smoking history)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),h,장기간 햇빛(자외선) 노출력 (Significant UV exposure history)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,경구피임약 혹은 호르몬 치료 복용력 (Oral contraceptive or hormonal therapy use)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,"약물 유발성 루푸스 가능 약물 복용력 (History of lupus-inducing medications: hydralazine, procainamide, isoniazid)"
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,비만 또는 대사증후군 (Obesity or metabolic syndrome)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,"심혈관 위험 인자 (Cardiovascular risk factors: hypertension, dyslipidemia)"
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,정신사회적 스트레스 (Recent psychosocial stress)
전신 홍반성 루푸스 (Systemic Lupus Erythematosus),m,"바이러스 감염력 (Recent or recurrent viral infections, e.g., Epstein-Barr Virus)"
갑상선 기능 저하증 (Hypothyroidism),h,만성 피로감 (Chronic Fatigue)
갑상선 기능 저하증 (Hypothyroidism),h,추위 불내성 (Cold Intolerance)
갑상선 기능 저하증 (Hypothyroidism),h,체중 증가 (Weight Gain)
갑상선 기능 저하증 (Hypothyroidism),h,변비 (Constipation)
갑상선 기능 저하증 (Hypothyroidism),h,"건조하고 거친 피부 (Dry, Coarse Skin)"
갑상선 기능 저하증 (Hypothyroidism),h,목소리 변화 (Hoarseness)
갑상선 기능 저하증 (Hypothyroidism),m,근육통 및 근육 약화 (Myalgia and Muscle Weakness)
갑상선 기능 저하증 (Hypothyroidism),m,탈모 (Hair Loss)
갑상선 기능 저하증 (Hypothyroidism),m,"월경 불규칙 및 과다월경 (Menstrual Irregularities, Menorrhagia)"
갑상선 기능 저하증 (Hypothyroidism),m,서맥 (Bradycardia)
갑상선 기능 저하증 (Hypothyroidism),m,안면 및 하지 부종 (Facial and Lower Extremity Edema)
갑상선 기능 저하증 (Hypothyroidism),m,기억력 및 집중력 저하 (Cognitive Impairment)
갑상선 기능 저하증 (Hypothyroidism),m,우울감 또는 정서 불안정 (Depressed Mood or Emotional Instability)
갑상선 기능 저하증 (Hypothyroidism),m,근육 경련 (Muscle cramps)
갑상선 기능 저하증 (Hypothyroidism),m,창백함 및 운동 시 호흡곤란 (Pallor and Exertional Dyspnea)
갑상선 기능 저하증 (Hypothyroidism),h,갑상선 또는 자가면역 질환의 가족력 (Family History of Thyroid or Autoimmune Disease)
갑상선 기능 저하증 (Hypothyroidism),h,과거 갑상선 수술 또는 방사선 치료력 (History of Thyroid Surgery or Radiation Therapy)
갑상선 기능 저하증 (Hypothyroidism),m,다른 자가면역 질환 병력 (History of Other Autoimmune Diseases)
갑상선 기능 저하증 (Hypothyroidism),m,정신과 질환 병력 (History of Psychiatric Disorders)
갑상선 기능 저하증 (Hypothyroidism),m,다운증후군 또는 터너 증후군 병력 (Down or Turner Syndrome)
갑상선 기능 저하증 (Hypothyroidism),m,"아미오다론, 리튬, 인터페론 복용력 (Amiodarone, Lithium, Interferon Use)"
갑상선 기능 저하증 (Hypothyroidism),m,과도한 요오드 섭취 (Excessive Iodine Intake)
갑상선 기능 저하증 (Hypothyroidism),m,임신 (Pregnancy)
갑상선 기능 저하증 (Hypothyroidism),m,60세 이상의 연령 (Age ≥ 60 years)
